name_desc,seed,batch_size,epochs,space,task,representation,timesteps,pwl_mse,test_tagates,gnn_type,back_dense,key,residual,leakyrelu,uap,opattn,attnresc,fgcn,bgcn,bmlp,bmlpdims,fbcd,back_y_info,back_opemb,ensemble_fuse_method,back_opemb_only,randopupdate,detach_mode,opemb_direct,unroll_fgcn,bmlp_ally,spr,kdt,spr_std,kdt_std
bmlpally,42,8,150,Amoeba,class_scene,adj_gin,2,pwl,False,dense,False,8,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,False,add,False,False,detach_none,True,False,False,0.14830761030005918,0.10002456106546065,0.015926819781498687,0.007284392801472882
bmlpally,42,8,150,Amoeba,class_scene,adj_gin,2,pwl,False,dense,False,16,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,False,add,False,False,detach_none,True,False,False,0.29739115975363883,0.20201176023410553,0.012380773666743132,0.0059933375487897685
bmlpally,42,8,150,Amoeba,class_scene,adj_gin,2,pwl,False,dense,False,32,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,False,add,False,False,detach_none,True,False,False,0.4184895105357679,0.2866835203411512,0.006074821258322849,0.003167708948799477
bmlpally,42,8,150,Amoeba,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,False,add,False,False,detach_none,True,False,False,0.5361622297974028,0.3748493333881901,0.0012096687641692742,0.000728179230432296
bmlpally,42,8,150,Amoeba,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,False,add,False,False,detach_none,True,False,False,0.6362940966518849,0.4546058710263443,0.002475309446132801,0.0016913252632120555
bmlpally,42,8,150,Amoeba,class_scene,adj_gin,2,pwl,False,dense,False,8,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,False,add,False,False,detach_none,True,False,True,0.1149319717046419,0.07757940383464947,0.017669764101066347,0.00804370595769869
bmlpally,42,8,150,Amoeba,class_scene,adj_gin,2,pwl,False,dense,False,16,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,False,add,False,False,detach_none,True,False,True,0.2320162342157146,0.15671591873272694,0.008993341455160741,0.004188736015746982
bmlpally,42,8,150,Amoeba,class_scene,adj_gin,2,pwl,False,dense,False,32,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,False,add,False,False,detach_none,True,False,True,0.42656125083021934,0.29314734448863866,0.010517962701114363,0.0056145175011227694
bmlpally,42,8,150,Amoeba,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,False,add,False,False,detach_none,True,False,True,0.5258991459288019,0.36688611103889357,0.0034039067417312415,0.0019776566887170647
bmlpally,42,8,150,Amoeba,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,False,add,False,False,detach_none,True,False,True,0.5919755632306019,0.4190124044029038,0.0008141144737509783,0.0005072118567638624
